dataname	setting	intra	inter	silhouette
d1	alpha_1.5__k_50	0.591228412758313	0.899097059409861	0.14900488457473504
d1	alpha_5__k_100	0.5546695419343288	0.9084396846454104	0.17126490425646262
d1	alpha_1.5__k_10	0.67728546969894	0.882304655056444	0.14186075641122242
d1	alpha_5__k_10	0.6717776251683255	0.890036933856452	0.14290407265786192
d1	alpha_1.5__k_100	0.546389653154225	0.9072087566721136	0.18367492388320042
d1	alpha_10__k_100	0.5447919915843472	0.9057364499774516	0.18940641412463646
d1	alpha_3__k_20	0.6408855738069538	0.8941402827230037	0.15208152293547056
d1	alpha_3__k_50	0.5887179016446189	0.8989171359305093	0.16087278411720557
d1	alpha_10__k_10	0.6729824334523135	0.8956460064244762	0.15741344254142192
d1	kmeanspp_10__k_50	0.5969303797095182	0.9009368930383078	0.15683776895163393
d1	alpha_5__k_50	0.5891450318649162	0.9025542627594539	0.16493904786238234
d1	alpha_10__k_50	0.5941675236414822	0.9057516118297446	0.16384667053960386
d1	alpha_3__k_100	0.5443089787779782	0.9006897556045654	0.18665003403188224
d1	alpha_1.5__k_20	0.6450272385070027	0.8958037586073202	0.15285423699134204
d1	alpha_10__k_20	0.6390007288770123	0.8919958342948766	0.14790540194232135
d1	alpha_5__k_20	0.6476378268941292	0.8978835531303488	0.15139098113649413
d1	kmeanspp_10__k_10	0.7011128430569668	0.8882824828817519	0.10552630784047713
d1	kmeanspp_10__k_100	0.5506117085989235	0.9079099067768849	0.17770764491992413
d1	kmeanspp_10__k_20	0.6445231551408193	0.8915728599692402	0.14143306478932774
d1	alpha_3__k_10	0.680698820811002	0.8883588116288346	0.14028626337662095
d2	alpha_1.5__k_50	0.5149994071880578	0.8813159864958545	0.20466562671476127
d2	alpha_5__k_100	0.4756329894106029	0.8797599148916757	0.2098215492614807
d2	alpha_1.5__k_10	0.6175392802484226	0.8694011686397117	0.1693420847579122
d2	alpha_5__k_10	0.6177090100739675	0.8670124895185771	0.17272423518726931
d2	alpha_1.5__k_100	0.47367791110242596	0.8806626757995805	0.21783782800598225
d2	alpha_10__k_100	0.47863260014242287	0.8808893139146126	0.20963051720714393
d2	alpha_3__k_20	0.573170189374251	0.8747290619842828	0.185090674776602
d2	alpha_3__k_50	0.5184845285444294	0.8741174758968837	0.17888567436685643
d2	alpha_10__k_10	0.6171445877608394	0.8666211062968349	0.15694420301836082
d2	kmeanspp_10__k_50	0.5118441840753696	0.8781536091691882	0.18661706019851396
d2	alpha_5__k_50	0.5171672528984992	0.8762751749830472	0.1863272691143634
d2	alpha_10__k_50	0.5157129546620205	0.880072649780717	0.1950792775681298
d2	alpha_3__k_100	0.474397613045202	0.8805920435619347	0.22319795992916427
d2	alpha_1.5__k_20	0.5787890838553434	0.8701916791226301	0.14796504966832472
